make,Year,mpg,Displacement,price
Lexus,2015,18.0,3.5,25998
Acura,2016,25.0,2.4,18998
Toyota,2014,25.0,2.5,13998
Toyota,2014,21.0,3.5,13998
Hyundai,2015,26.0,1.6,10998
Hyundai,2015,27.0,1.6,10998
Land Rover,2016,20.0,2.0,33998
Audi,2015,23.0,3.0,26998
Audi,2015,20.0,2.0,26998
Audi,2015,18.0,3.0,26998
Chevrolet,2017,22.0,2.5,16998
Chevrolet,2017,18.0,3.6,16998
Chevrolet,2017,19.0,3.6,16998
Buick,2016,21.0,2.0,20998
Buick,2016,20.0,2.0,20998
Buick,2016,19.0,2.4,20998
Audi,2016,24.0,2.0,31998
Toyota,2016,27.0,1.8,15998
Toyota,2016,28.0,1.8,15998
Toyota,2016,29.0,1.8,15998
Toyota,2016,28.0,1.8,15998
Honda,2015,29.0,1.8,14998
Honda,2015,29.0,1.8,14998
Honda,2015,28.0,1.8,14998
Honda,2015,22.0,2.4,14998
Volkswagen,2014,21.0,2.0,16599
Volkswagen,2014,18.0,2.0,16599
Lexus,2015,21.0,2.5,22998
Nissan,2015,27.0,1.8,14599
Nissan,2015,29.0,1.8,14599
Chevrolet,2014,21.0,2.0,13998
Chevrolet,2014,25.0,2.5,13998
Chevrolet,2013,26.0,1.4,10998
Chevrolet,2013,26.0,1.4,10998
Chevrolet,2013,25.0,1.8,10998
Chevrolet,2013,22.0,1.8,10998
FIAT,2015,27.0,1.4,11998
FIAT,2015,24.0,1.4,11998
FIAT,2015,30.0,1.4,11998
FIAT,2015,28.0,1.4,11998
Toyota,2015,23.0,2.5,19998
Kia,2017,20.0,3.3,28998
Honda,2013,26.0,2.4,17998
Honda,2013,24.0,2.4,17998
Honda,2013,21.0,3.5,17998
Honda,2013,21.0,3.5,17998
Honda,2013,18.0,3.5,17998
Honda,2013,26.0,2.4,17998
Toyota,2014,23.0,2.5,18599
Honda,2018,26.0,1.5,25998
Honda,2018,30.0,1.5,25998
Honda,2018,29.0,1.5,25998
Honda,2018,22.0,2.0,25998
Honda,2018,23.0,2.0,25998
Ford,2016,22.0,2.3,26998
Ford,2016,21.0,2.3,26998
Ford,2016,17.0,3.7,26998
Ford,2016,19.0,3.7,26998
Ford,2016,16.0,5.0,26998
Ford,2016,15.0,5.0,26998
Lexus,2014,21.0,3.5,20998
Cadillac,2015,17.0,3.6,21998
Chevrolet,2016,19.0,3.6,23998
Chevrolet,2016,18.0,3.6,23998
Chevrolet,2016,22.0,2.5,23998
Chrysler,2015,19.0,3.6,18998
Chrysler,2015,16.0,5.7,18998
Chrysler,2015,19.0,3.6,18998
Nissan,2014,27.0,1.8,11998
Nissan,2014,30.0,1.8,11998
Nissan,2014,29.0,1.8,11998
Honda,2014,29.0,1.8,12998
Honda,2014,22.0,2.4,12998
Honda,2014,29.0,1.8,12998
Honda,2014,28.0,1.8,12998
Ford,2014,19.0,3.7,22998
Ford,2014,19.0,3.7,22998
Ford,2014,15.0,5.8,22998
Ford,2014,18.0,5.0,22998
Ford,2014,16.0,5.0,22998
Toyota,2016,25.0,2.5,17998
Toyota,2016,21.0,3.5,17998
Volkswagen,2012,22.0,2.0,10998
Volkswagen,2012,22.0,2.5,10998
Volkswagen,2012,21.0,2.0,10998
Volkswagen,2012,22.0,2.5,10998
Nissan,2015,27.0,2.5,16998
Nissan,2015,22.0,3.5,16998
Acura,2015,24.0,2.4,20998
Acura,2015,21.0,3.5,20998
Chrysler,2015,23.0,2.4,13998
Chrysler,2015,19.0,3.6,13998
Chrysler,2015,23.0,2.4,13998
Chrysler,2015,19.0,3.6,13998
Nissan,2015,27.0,2.5,14998
Nissan,2015,22.0,3.5,14998
Toyota,2011,26.0,1.8,9998
Toyota,2011,27.0,1.8,9998
Toyota,2011,21.0,2.4,9998
Toyota,2011,22.0,2.4,9998
Chevrolet,2013,22.0,2.5,13599
Chevrolet,2013,21.0,2.0,13599
Scion,2010,21.0,2.4,7998
Scion,2010,20.0,2.4,7998
Hyundai,2011,24.0,2.4,10998
Hyundai,2011,22.0,2.4,10998
Hyundai,2011,22.0,2.0,10998
Buick,2015,20.0,2.0,14998
Buick,2015,21.0,2.0,14998
Buick,2015,21.0,2.4,14998
Chevrolet,2013,31.0,1.2,9998
Chevrolet,2013,28.0,1.2,9998
Honda,2015,29.0,1.8,14998
Honda,2015,29.0,1.8,14998
Honda,2015,28.0,1.8,14998
Honda,2015,22.0,2.4,14998
Chevrolet,2014,15.0,6.2,24998
Chevrolet,2014,19.0,3.6,24998
Chevrolet,2014,17.0,3.6,24998
Chevrolet,2014,18.0,3.6,24998
Chevrolet,2014,16.0,6.2,24998
Chevrolet,2014,14.0,6.2,24998
Chevrolet,2014,12.0,6.2,24998
Chevrolet,2014,13.0,7.0,24998
Toyota,2010,26.0,1.8,10599
Toyota,2010,26.0,1.8,10599
Toyota,2010,22.0,2.4,10599
Toyota,2010,22.0,2.4,10599
Buick,2014,25.0,1.4,15998
Honda,2015,18.0,3.5,18998
Honda,2015,21.0,3.5,18998
Honda,2015,21.0,3.5,18998
Honda,2015,23.0,2.4,18998
Honda,2015,27.0,2.4,18998
Honda,2015,26.0,2.4,18998
Toyota,2015,23.0,2.5,18998
Toyota,2016,25.0,2.5,19998
Toyota,2016,21.0,3.5,19998
Hyundai,2015,16.0,3.8,17998
Hyundai,2015,16.0,3.8,17998
Honda,2015,29.0,1.8,15998
Honda,2015,29.0,1.8,15998
Honda,2015,28.0,1.8,15998
Honda,2015,22.0,2.4,15998
Honda,2015,18.0,3.5,18599
Honda,2015,21.0,3.5,18599
Honda,2015,21.0,3.5,18599
Honda,2015,23.0,2.4,18599
Honda,2015,27.0,2.4,18599
Honda,2015,26.0,2.4,18599
Chevrolet,2016,30.0,1.4,15998
Chevrolet,2016,28.0,1.4,15998
Cadillac,2017,18.0,3.6,25998
Toyota,2015,25.0,2.5,18998
Toyota,2015,21.0,3.5,18998
Mitsubishi,2013,24.0,2.0,12599
Mitsubishi,2013,22.0,2.4,12599
Nissan,2016,27.0,2.5,16998
Nissan,2016,22.0,3.5,16998
Chrysler,2013,16.0,5.7,19998
Chrysler,2013,19.0,3.6,19998
Chrysler,2013,19.0,3.6,19998
Chevrolet,2016,43.0,1.5,20998
Hyundai,2011,24.0,2.4,10998
Hyundai,2011,22.0,2.4,10998
Hyundai,2011,22.0,2.0,10998
Toyota,2015,23.0,2.5,17998
Toyota,2015,29.0,1.8,13998
Toyota,2015,27.0,1.8,13998
Toyota,2015,28.0,1.8,13998
Toyota,2015,28.0,1.8,13998
Volkswagen,2012,22.0,2.0,10998
Volkswagen,2012,22.0,2.5,10998
Volkswagen,2012,21.0,2.0,10998
Volkswagen,2012,22.0,2.5,10998
Dodge,2017,19.0,2.4,15998
Dodge,2017,17.0,3.6,15998
Hyundai,2014,19.0,3.3,18998
Chevrolet,2015,26.0,1.4,12998
Chevrolet,2015,26.0,1.4,12998
Chevrolet,2015,22.0,1.8,12998
Chevrolet,2015,25.0,1.8,12998
Chevrolet,2015,27.0,2.0,12998
Nissan,2015,27.0,2.5,14998
Nissan,2015,22.0,3.5,14998
Chrysler,2014,18.0,2.4,17998
Chrysler,2014,19.0,3.6,17998
Toyota,2018,29.0,2.5,20998
Toyota,2018,22.0,3.5,20998
Hyundai,2016,22.0,2.0,18998
Hyundai,2016,25.0,2.4,18998
Hyundai,2016,28.0,1.6,18998
Chrysler,2016,23.0,2.4,15998
Chrysler,2016,23.0,2.4,15998
Chrysler,2016,19.0,3.6,15998
Buick,2015,25.0,1.4,16599
Audi,2014,25.0,2.0,22998
Chrysler,2012,21.0,2.4,9998
Chrysler,2012,20.0,2.4,9998
Chrysler,2012,19.0,3.6,9998
Nissan,2015,27.0,2.5,14599
Nissan,2015,22.0,3.5,14599
Kia,2016,28.0,1.6,14998
Kia,2016,22.0,2.0,14998
Kia,2016,24.0,2.4,14998
Ford,2012,19.0,3.7,13599
Ford,2012,19.0,3.7,13599
Ford,2012,18.0,5.0,13599
Ford,2012,17.0,5.0,13599
Ford,2012,15.0,5.4,13599
Dodge,2016,19.0,3.6,38998
Dodge,2016,16.0,5.7,38998
Dodge,2016,15.0,6.4,38998
Dodge,2016,15.0,5.7,38998
Dodge,2016,14.0,6.4,38998
Chevrolet,2014,15.0,6.2,14998
Chevrolet,2014,19.0,3.6,14998
Chevrolet,2014,17.0,3.6,14998
Chevrolet,2014,18.0,3.6,14998
Chevrolet,2014,16.0,6.2,14998
Chevrolet,2014,14.0,6.2,14998
Chevrolet,2014,12.0,6.2,14998
Chevrolet,2014,13.0,7.0,14998
Volkswagen,2010,17.0,4.0,12599
Volkswagen,2010,16.0,3.8,12599
Honda,2018,26.0,1.5,26998
Honda,2018,30.0,1.5,26998
Honda,2018,29.0,1.5,26998
Honda,2018,22.0,2.0,26998
Honda,2018,23.0,2.0,26998
Mitsubishi,2017,33.0,1.2,9998
Mitsubishi,2017,35.0,1.2,9998
Toyota,2015,25.0,2.5,16998
Toyota,2015,21.0,3.5,16998
Toyota,2016,27.0,1.8,15998
Toyota,2016,28.0,1.8,15998
Toyota,2016,29.0,1.8,15998
Toyota,2016,28.0,1.8,15998
Lexus,2016,21.0,3.5,25998
Hyundai,2012,22.0,2.0,10998
Hyundai,2012,24.0,2.4,10998
Hyundai,2012,24.0,2.4,10998
Chevrolet,2015,26.0,1.4,12998
Chevrolet,2015,26.0,1.4,12998
Chevrolet,2015,22.0,1.8,12998
Chevrolet,2015,25.0,1.8,12998
Chevrolet,2015,27.0,2.0,12998
Toyota,2015,23.0,2.5,17998
Chevrolet,2013,28.0,1.4,11599
Chevrolet,2013,27.0,1.4,11599
Chevrolet,2013,26.0,1.8,11599
Chevrolet,2013,24.0,1.8,11599
Nissan,2018,21.0,3.5,23998
Toyota,2015,29.0,1.8,15998
Toyota,2015,27.0,1.8,15998
Toyota,2015,28.0,1.8,15998
Toyota,2015,28.0,1.8,15998
Chrysler,2013,19.0,3.6,10599
Chrysler,2013,20.0,2.4,10599
Chrysler,2013,21.0,2.4,10599
Chrysler,2015,19.0,3.6,17599
Chrysler,2015,16.0,5.7,17599
Chrysler,2015,19.0,3.6,17599
Toyota,2016,43.0,1.8,18998
Toyota,2016,25.0,2.5,17998
Toyota,2016,21.0,3.5,17998
Nissan,2015,27.0,2.5,14998
Nissan,2015,22.0,3.5,14998
Honda,2012,23.0,2.4,12599
Honda,2012,22.0,2.4,12599
Honda,2012,20.0,3.5,12599
Volkswagen,2015,20.0,3.6,15998
Volkswagen,2015,24.0,1.8,15998
Volkswagen,2015,29.0,2.0,15998
Volkswagen,2015,24.0,1.8,15998
Volkswagen,2015,30.0,2.0,15998
Honda,2015,18.0,3.5,17998
Honda,2015,21.0,3.5,17998
Honda,2015,21.0,3.5,17998
Honda,2015,23.0,2.4,17998
Honda,2015,27.0,2.4,17998
Honda,2015,26.0,2.4,17998
Acura,2015,24.0,2.4,20998
Acura,2015,21.0,3.5,20998
Acura,2015,24.0,2.4,18998
Acura,2015,21.0,3.5,18998
Cadillac,2015,18.0,3.6,25998
Cadillac,2015,19.0,2.0,25998
Cadillac,2015,21.0,2.0,25998
Cadillac,2015,21.0,2.5,25998
Lexus,2015,21.0,2.5,25998
Toyota,2016,54.0,1.8,23998
Toyota,2018,29.0,2.5,18998
Toyota,2018,22.0,3.5,18998
Honda,2015,18.0,3.5,14998
Honda,2015,21.0,3.5,14998
Honda,2015,21.0,3.5,14998
Honda,2015,23.0,2.4,14998
Honda,2015,27.0,2.4,14998
Honda,2015,26.0,2.4,14998
Kia,2010,26.0,1.6,8599
Kia,2010,26.0,1.6,8599
