Year,model,Transmission,mpg,Displacement
2019,Acura,Automatic,35.0,2000
2019,Acura,Automatic,35.0,2000
2019,Acura,Manual,31.0,2400
2019,Acura,Automatic,35.0,2000
2019,Acura,Automatic,28.0,3500
2019,Acura,Automatic,28.0,3500
2019,Acura,Automatic,27.0,3500
2019,Acura,Automatic,27.0,3500
2019,Acura,Automatic,27.0,3500
2019,Acura,Automatic,27.0,3500
2019,Acura,Automatic,28.0,3500
2019,Acura,Automatic,28.0,3500
2019,Acura,Automatic,,3500
2019,Acura,Automatic,28.0,3500
2019,Acura,Automatic,27.0,3500
2019,Acura,Automatic,28.0,3500
2019,Acura,Automatic,27.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automated Manual,35.0,2400
2019,Acura,Automatic,34.0,3500
2019,Acura,Automatic,34.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automatic,31.0,3500
2019,Acura,Automated Manual,35.0,2400
2019,Acura,Automatic,34.0,3500
2019,Audi,Automated Manual,35.0,1800
2019,Audi,Automated Manual,33.0,1800
2019,Audi,Automated Manual,35.0,1800
2019,Audi,Automated Manual,33.0,1800
2019,Audi,Automated Manual,35.0,1800
2019,Audi,Automated Manual,33.0,1800
2019,Audi,Automated Manual,43.0,2000
2019,Audi,Automated Manual,43.0,2000
2019,Audi,Automated Manual,43.0,2000
2019,Audi,Automated Manual,32.0,2000
2019,Audi,Automated Manual,33.0,2000
2019,Audi,Automated Manual,32.0,2000
2019,Audi,Automated Manual,33.0,2000
2019,Audi,Automated Manual,32.0,2000
2019,Audi,Automated Manual,33.0,2000
2019,Audi,Automated Manual,,1400
2019,Audi,Automatic,32.0,2000
2019,Audi,Automatic,32.0,2000
2019,Audi,Manual,32.0,2000
2019,Audi,Automatic,31.0,2000
2019,Audi,Manual,32.0,2000
2019,Audi,Automatic,31.0,2000
2019,Audi,Automatic,32.0,2000
2019,Audi,Manual,32.0,2000
2019,Audi,Automatic,31.0,2000
2019,Audi,Automatic,28.0,2000
2019,Audi,Manual,32.0,2000
2019,Audi,Automatic,31.0,2000
2019,Audi,Automatic,28.0,2000
2019,Audi,Manual,32.0,2000
2019,Audi,Automatic,31.0,2000
2019,Audi,Automatic,28.0,2000
