Year,model,Configuration,Transmission,mpg,Displacement
2019,Acura,ILX,Automatic,35.0,2000
2019,Acura,ILX,Automatic,35.0,2000
2019,Acura,ILX,Manual,31.0,2400
2019,Acura,ILX,Automatic,35.0,2000
2019,Acura,MDX,Automatic,28.0,3500
2019,Acura,MDX,Automatic,28.0,3500
2019,Acura,MDX,Automatic,27.0,3500
2019,Acura,MDX,Automatic,27.0,3500
2019,Acura,MDX,Automatic,27.0,3500
2019,Acura,MDX,Automatic,27.0,3500
2019,Acura,MDX,Automatic,28.0,3500
2019,Acura,MDX,Automatic,28.0,3500
2019,Acura,NSX,Automatic,,3500
2019,Acura,RDX,Automatic,28.0,3500
2019,Acura,RDX,Automatic,27.0,3500
2019,Acura,RDX,Automatic,28.0,3500
2019,Acura,RDX,Automatic,27.0,3500
2019,Acura,RLX,Automatic,31.0,3500
2019,Acura,RLX,Automatic,31.0,3500
2019,Acura,RLX,Automatic,31.0,3500
2019,Acura,RLX,Automatic,31.0,3500
2019,Acura,RLX,Automatic,31.0,3500
2019,Acura,TLX,Automated Manual,35.0,2400
2019,Acura,TLX,Automatic,34.0,3500
2019,Acura,TLX,Automatic,34.0,3500
2019,Acura,TLX,Automatic,31.0,3500
2019,Acura,TLX,Automatic,31.0,3500
2019,Acura,TLX,Automated Manual,35.0,2400
2019,Acura,TLX,Automatic,34.0,3500
2019,Audi,A3,Automated Manual,35.0,1800
2019,Audi,A3,Automated Manual,33.0,1800
2019,Audi,A3,Automated Manual,35.0,1800
2019,Audi,A3,Automated Manual,33.0,1800
2019,Audi,A3,Automated Manual,35.0,1800
2019,Audi,A3,Automated Manual,33.0,1800
2019,Audi,A3,Automated Manual,43.0,2000
2019,Audi,A3,Automated Manual,43.0,2000
2019,Audi,A3,Automated Manual,43.0,2000
2019,Audi,A3,Automated Manual,32.0,2000
2019,Audi,A3,Automated Manual,33.0,2000
2019,Audi,A3,Automated Manual,32.0,2000
2019,Audi,A3,Automated Manual,33.0,2000
2019,Audi,A3,Automated Manual,32.0,2000
2019,Audi,A3,Automated Manual,33.0,2000
2019,Audi,A3 e-tron,Automated Manual,,1400
2019,Audi,A4,Automatic,32.0,2000
2019,Audi,A4,Automatic,32.0,2000
2019,Audi,A4,Manual,32.0,2000
2019,Audi,A4,Automatic,31.0,2000
2019,Audi,A4,Manual,32.0,2000
2019,Audi,A4,Automatic,31.0,2000
2019,Audi,A4,Automatic,32.0,2000
2019,Audi,A4,Manual,32.0,2000
2019,Audi,A4,Automatic,31.0,2000
2019,Audi,A5,Automatic,28.0,2000
2019,Audi,A5,Manual,32.0,2000
2019,Audi,A5,Automatic,31.0,2000
2019,Audi,A5,Automatic,28.0,2000
2019,Audi,A5,Manual,32.0,2000
2019,Audi,A5,Automatic,31.0,2000
2019,Audi,A5,Automatic,28.0,2000
2019,Audi,A5,Manual,32.0,2000
2019,Audi,A5,Automatic,31.0,2000
2019,Audi,A6,Automatic,33.0,2000
2019,Audi,A6,Automatic,33.0,2000
2019,Audi,A6,Automatic,29.0,2000
2019,Audi,A6,Automatic,29.0,2000
2019,Audi,A6,Automatic,27.0,3000
2019,Audi,A6,Automatic,27.0,3000
2019,Audi,A6,Automatic,38.0,3000
2019,Audi,A6,Automatic,38.0,3000
2019,Audi,A7,Automatic,28.0,3000
2019,Audi,A7,Automatic,28.0,3000
2019,Audi,A7,Automatic,38.0,3000
2019,Audi,A7,Automatic,38.0,3000
2019,Audi,A8,Automatic,29.0,3000
2019,Audi,A8,Automatic,30.0,4000
2019,Audi,A8,Automatic,29.0,3000
2019,Audi,A8,Automatic,29.0,4000
2019,Audi,A8,Automatic,36.0,3000
2019,Audi,A8,Automatic,22.0,6300
2019,Audi,allroad,Automatic,28.0,2000
2019,Audi,allroad,Automatic,28.0,2000
2019,Audi,allroad,Automatic,28.0,2000
2019,Audi,Q3,Automatic,29.0,2000
2019,Audi,Q3,Automatic,28.0,2000
2019,Audi,Q3,Automatic,29.0,2000
2019,Audi,Q3,Automatic,28.0,2000
2019,Audi,Q5,Automatic,28.0,2000
2019,Audi,Q5,Automatic,28.0,2000
2019,Audi,Q5,Automatic,30.0,2000
2019,Audi,Q5,Automatic,26.0,3000
2019,Audi,Q5,Automatic,26.0,3000
2019,Audi,Q5,Automatic,31.0,3000
2019,Audi,Q5,Automatic,31.0,3000
2019,Audi,Q7,Automatic,22.0,3000
2019,Audi,Q7,Automatic,22.0,3000
2019,Audi,Q7,Automatic,22.0,3000
2019,Audi,Q7,Automatic,28.0,3000
2019,Audi,Q7,Automatic,28.0,3000
2019,Audi,Q7,Automatic,28.0,3000
2019,Audi,R8,Manual,19.0,5200
2019,Audi,R8,Automated Manual,22.0,5200
2019,Audi,R8,Automated Manual,,5200
2019,Audi,R8,Manual,19.0,5200
2019,Audi,R8,Automated Manual,22.0,5200
2019,Audi,R8,Manual,19.0,5200
2019,Audi,R8,Automated Manual,22.0,5200
2019,Audi,R8,Manual,19.0,5200
2019,Audi,R8,Automated Manual,22.0,5200
2019,Audi,R8,Manual,20.0,4200
2019,Audi,R8,Automated Manual,23.0,4200
2019,Audi,R8,Manual,20.0,4200
2019,Audi,R8,Automated Manual,23.0,4200
2019,Audi,RS 5,Automated Manual,22.0,4200
2019,Audi,RS 5,Automated Manual,23.0,4200
2019,Audi,RS 7,Automatic,27.0,4000
2019,Audi,S3,Automated Manual,,2000
2019,Audi,S3,Automated Manual,,2000
2019,Audi,S4,Manual,26.0,3000
2019,Audi,S4,Automated Manual,28.0,3000
2019,Audi,S4,Manual,26.0,3000
