make,mileage,model,price,vin,Year,Transmission,mpg,Displacement
Lexus,44190,RX 350,25998,2T2BK1BA9FC342572,2015,Automatic (S6),18.0,3.5
Acura,26888,MDX,30998,5FRYD4H44GB033681,2016,,,
Toyota,19865,Highlander,29998,5TDJKRFH4GS345488,2016,,,
Acura,24969,ILX,18998,19UDE2F71GA017012,2016,Automatic (AM8),25.0,2.4
Toyota,61660,Camry,13998,4T1BF1FK3EU388276,2014,Automatic (S6),25.0,2.5
Toyota,61660,Camry,13998,4T1BF1FK3EU388276,2014,Automatic (S6),21.0,3.5
Hyundai,52771,Accent,10998,KMHCT5AE3FU213355,2015,Automatic (S6),26.0,1.6
Hyundai,52771,Accent,10998,KMHCT5AE3FU213355,2015,Manual 6-spd,27.0,1.6
Mazda,71846,Mazda6,10599,1YVHZ8BH8C5M17779,2012,,,
Subaru,95311,Outback,14998,4S4BRBGC3C3291084,2012,,,
Land Rover,45815,Discovery Sport,33998,SALCT2BG8GH599440,2016,Automatic (S9),20.0,2.0
Mercedes-Benz,61854,C-Class,16998,WDDGF8BB4CR227322,2012,,,
Honda,18407,CR-V,20998,5J6RM4H42GL076395,2016,,,
Ram,93811,Pickup 1500,22599,1C6RR7LT5ES193437,2014,,,
Jeep,61515,Cherokee,15998,1C4PJMCB1GW310889,2016,,,
Audi,32016,Q5,26998,WA1CFAFP1FA119548,2015,Automatic (S8),23.0,3.0
Audi,32016,Q5,26998,WA1CFAFP1FA119548,2015,Automatic (S8),20.0,2.0
Audi,32016,Q5,26998,WA1CFAFP1FA119548,2015,Automatic (S8),18.0,3.0
Ford,18607,Escape,20998,1FMCU9J90GUB42818,2016,,,
Honda,33454,CR-V,18599,2HKRM4H35FH615110,2015,,,
Chevrolet,48223,Impala,16998,2G1105SA6H9126719,2017,Automatic (S6),22.0,2.5
Chevrolet,48223,Impala,16998,2G1105SA6H9126719,2017,Automatic (S6),18.0,3.6
Chevrolet,48223,Impala,16998,2G1105SA6H9126719,2017,Automatic (S6),19.0,3.6
Toyota,44589,4Runner,32998,JTEBU5JR2F5255926,2015,,,
Buick,10855,Regal,20998,2G4GT5GX2G9138558,2016,Automatic (S6),21.0,2.0
Buick,10855,Regal,20998,2G4GT5GX2G9138558,2016,Manual 6-spd,20.0,2.0
Buick,10855,Regal,20998,2G4GT5GX2G9138558,2016,Automatic (S6),19.0,2.4
Chevrolet,101812,Tahoe,17998,1GNUCBE06AR138109,2010,,,
Jeep,43218,Cherokee,25998,1C4PJMBS8GW121383,2016,,,
Audi,58925,A6,31998,WAUHGAFC4GN004942,2016,Automatic (AM-S7),24.0,2.0
Nissan,24076,Murano,20998,5N1AZ2MH9FN235848,2015,,,
Toyota,5051,Corolla,15998,2T1BURHE2GC724354,2016,Automatic 4-spd,27.0,1.8
Toyota,5051,Corolla,15998,2T1BURHE2GC724354,2016,Automatic (AV-S7),28.0,1.8
Toyota,5051,Corolla,15998,2T1BURHE2GC724354,2016,Automatic (variable gear ratios),29.0,1.8
Toyota,5051,Corolla,15998,2T1BURHE2GC724354,2016,Manual 6-spd,28.0,1.8
Mitsubishi,28165,Outlander Sport,14998,4A4AR3AW0FE051775,2015,,,
Toyota,38682,Tacoma,33998,3TMGZ5AN9GM029547,2016,,,
Chevrolet,34556,Silverado 1500,27998,1GCVKREH5FZ422899,2015,,,
Honda,42042,Civic,14998,19XFB2F83FE097711,2015,Automatic (variable gear ratios),29.0,1.8
Honda,42042,Civic,14998,19XFB2F83FE097711,2015,Automatic (AV-S7),29.0,1.8
Honda,42042,Civic,14998,19XFB2F83FE097711,2015,Manual 5-spd,28.0,1.8
Honda,42042,Civic,14998,19XFB2F83FE097711,2015,Manual 6-spd,22.0,2.4
Ford,27220,Fusion,14998,3FA6P0H71GR294841,2016,,,
Volkswagen,30111,Tiguan,16599,WVGBV3AX4EW543441,2014,Automatic (S6),21.0,2.0
Volkswagen,30111,Tiguan,16599,WVGBV3AX4EW543441,2014,Manual 6-spd,18.0,2.0
Lexus,32981,IS 250,22998,JTHBF1D2XF5064548,2015,Automatic (S6),21.0,2.5
Nissan,34981,Sentra,14599,3N1AB7AP7FY350536,2015,Manual 6-spd,27.0,1.8
Nissan,34981,Sentra,14599,3N1AB7AP7FY350536,2015,Automatic (variable gear ratios),29.0,1.8
Toyota,62637,Sienna,19599,5TDYK3DC8ES494213,2014,,,
Ford,45129,Edge,23998,2FMPK4K91HBB91008,2017,,,
Lincoln,20856,MKZ,21998,3LN6L2J95GR628586,2016,,,
Chevrolet,12527,Malibu,13998,1G11B5SL9EF187853,2014,Automatic (S6),21.0,2.0
Chevrolet,12527,Malibu,13998,1G11B5SL9EF187853,2014,Automatic (S6),25.0,2.5
Chevrolet,62208,Cruze,10998,1G1PD5SBXD7208360,2013,Manual 6-spd,26.0,1.4
Chevrolet,62208,Cruze,10998,1G1PD5SBXD7208360,2013,Automatic (S6),26.0,1.4
Chevrolet,62208,Cruze,10998,1G1PD5SBXD7208360,2013,Manual 6-spd,25.0,1.8
Chevrolet,62208,Cruze,10998,1G1PD5SBXD7208360,2013,Automatic (S6),22.0,1.8
FIAT,22947,500,11998,3C3CFFBR3FT503855,2015,Automatic 6-spd,27.0,1.4
FIAT,22947,500,11998,3C3CFFBR3FT503855,2015,Automatic 6-spd,24.0,1.4
FIAT,22947,500,11998,3C3CFFBR3FT503855,2015,Manual 5-spd,30.0,1.4
FIAT,22947,500,11998,3C3CFFBR3FT503855,2015,Manual 5-spd,28.0,1.4
MINI,14940,Countryman,25998,WMWZC5C59GWU20864,2016,,,
Ford,35574,Explorer,30998,1FM5K8GT8GGB85037,2016,,,
Toyota,27659,RAV4,19998,JTMRFREV6FD161596,2015,Automatic (S6),23.0,2.5
Ford,28377,Escape,19998,1FMCU9JX8GUB27997,2016,,,
Kia,15897,Sorento,20998,5XYPGDA34GG089084,2016,,,
Kia,5697,Cadenza,28998,KNALC4J19H5089758,2017,Automatic (S8),20.0,3.3
Honda,34591,Accord,17998,1HGCR2F88DA188084,2013,Automatic (AV-S7),26.0,2.4
Honda,34591,Accord,17998,1HGCR2F88DA188084,2013,Manual 6-spd,24.0,2.4
Honda,34591,Accord,17998,1HGCR2F88DA188084,2013,Automatic 6-spd,21.0,3.5
Honda,34591,Accord,17998,1HGCR2F88DA188084,2013,Automatic (S6),21.0,3.5
Honda,34591,Accord,17998,1HGCR2F88DA188084,2013,Manual 6-spd,18.0,3.5
Honda,34591,Accord,17998,1HGCR2F88DA188084,2013,Automatic (variable gear ratios),26.0,2.4
Jeep,47259,Patriot,15998,1C4NJRBB9FD312373,2015,,,
Toyota,70433,RAV4,18599,2T3DFREV7EW126299,2014,Automatic (S6),23.0,2.5
Chevrolet,36392,Equinox,16998,2GNALAEK5F6385882,2015,,,
Nissan,29335,Rogue,17599,KNMAT2MV1GP601514,2016,,,
Ford,40001,Escape,19599,1FMCU9JXXGUA63588,2016,,,
Honda,7682,Accord,25998,1HGCV1F35JA051268,2018,Manual 6-spd,26.0,1.5
Honda,7682,Accord,25998,1HGCV1F35JA051268,2018,Automatic (variable gear ratios),30.0,1.5
Honda,7682,Accord,25998,1HGCV1F35JA051268,2018,Automatic (AV-S7),29.0,1.5
Honda,7682,Accord,25998,1HGCV1F35JA051268,2018,Manual 6-spd,22.0,2.0
Honda,7682,Accord,25998,1HGCV1F35JA051268,2018,Automatic (S10),23.0,2.0
Ford,31849,Mustang,26998,1FA6P8CF0G5289663,2016,Manual 6-spd,22.0,2.3
Ford,31849,Mustang,26998,1FA6P8CF0G5289663,2016,Automatic (S6),21.0,2.3
Ford,31849,Mustang,26998,1FA6P8CF0G5289663,2016,Manual 6-spd,17.0,3.7
Ford,31849,Mustang,26998,1FA6P8CF0G5289663,2016,Automatic (S6),19.0,3.7
Ford,31849,Mustang,26998,1FA6P8CF0G5289663,2016,Automatic (S6),16.0,5.0
Ford,31849,Mustang,26998,1FA6P8CF0G5289663,2016,Manual 6-spd,15.0,5.0
Lexus,59421,ES 350,20998,JTHBK1GG7E2123008,2014,Automatic (S6),21.0,3.5
Honda,42401,Crosstour,22998,5J6TF2H52FL003264,2015,,,
Chevrolet,25265,Traverse,23599,1GNKRGKDXHJ132669,2017,,,
Buick,36188,Enclave,21998,5GAKRAKD6FJ167584,2015,,,
Cadillac,31213,SRX,21998,3GYFNAE38FS617386,2015,Automatic (S6),17.0,3.6
Ford,33105,Escape,16998,1FMCU9GX5GUB78560,2016,,,
Chevrolet,28116,Impala,23998,1G1145S3XGU123460,2016,Automatic (S6),19.0,3.6
Chevrolet,28116,Impala,23998,1G1145S3XGU123460,2016,Automatic (S6),18.0,3.6
Chevrolet,28116,Impala,23998,1G1145S3XGU123460,2016,Automatic (S6),22.0,2.5
Chevrolet,35979,Silverado 1500,25998,1GCVKREHXGZ205429,2016,,,
Ford,23547,Escape,15998,1FMCU0G76GUA93478,2016,,,
Lincoln,34992,MKZ,19998,3LN6L2J92GR614662,2016,,,
