,brand,Year,mpg,Displacement,list_price
1,Volkswagen,2013,18.0,2.0,11450
2,Volkswagen,2013,21.0,2.0,11450
5,Honda,2015,18.0,3.5,15499
6,Honda,2015,21.0,3.5,15499
7,Honda,2015,21.0,3.5,15499
8,Honda,2015,23.0,2.4,15499
9,Honda,2015,27.0,2.4,15499
10,Honda,2015,26.0,2.4,15499
13,Chevrolet,2017,27.0,1.5,19999
14,Chevrolet,2017,22.0,2.0,19999
16,Porsche,2013,17.0,3.6,0
17,Porsche,2013,15.0,3.6,0
18,Toyota,2006,26.0,1.8,2600
19,Toyota,2006,28.0,1.8,2600
20,Toyota,2006,22.0,1.8,2600
22,Cadillac,2001,15.0,4.6,1000
27,Toyota,2014,23.0,2.5,15950
31,Chevrolet,2017,27.0,1.5,19999
32,Chevrolet,2017,22.0,2.0,19999
34,Porsche,2013,17.0,3.6,0
35,Porsche,2013,15.0,3.6,0
36,Toyota,2006,26.0,1.8,2600
37,Toyota,2006,28.0,1.8,2600
38,Toyota,2006,22.0,1.8,2600
40,Cadillac,2001,15.0,4.6,1000
41,Honda,2014,26.0,2.4,16950
42,Honda,2014,21.0,3.5,16950
43,Honda,2014,18.0,3.5,16950
44,Honda,2014,24.0,2.4,16950
45,Honda,2014,26.0,2.4,16950
46,Honda,2014,21.0,3.5,16950
48,Porsche,2013,17.0,3.6,53988
49,Porsche,2013,15.0,3.6,53988
50,Audi,2012,18.0,3.0,21800
51,Audi,2012,18.0,3.0,21800
55,Chevrolet,2017,27.0,1.5,19999
56,Chevrolet,2017,22.0,2.0,19999
58,Porsche,2013,17.0,3.6,0
59,Porsche,2013,15.0,3.6,0
60,Toyota,2006,26.0,1.8,2600
61,Toyota,2006,28.0,1.8,2600
62,Toyota,2006,22.0,1.8,2600
64,Cadillac,2001,15.0,4.6,1000
65,Toyota,2008,29.0,1.5,4995
66,Toyota,2008,29.0,1.5,4995
67,Volkswagen,2015,24.0,2.0,9500
68,Volkswagen,2015,23.0,2.0,9500
69,Volkswagen,2015,30.0,2.0,9500
70,Volkswagen,2015,31.0,2.0,9500
71,Volkswagen,2015,25.0,2.0,9500
72,Volkswagen,2015,25.0,1.8,9500
73,Volkswagen,2015,25.0,1.8,9500
74,Volkswagen,2015,22.0,2.0,9500
78,Chevrolet,2017,27.0,1.5,19999
79,Chevrolet,2017,22.0,2.0,19999
81,Porsche,2013,17.0,3.6,0
82,Porsche,2013,15.0,3.6,0
83,Toyota,2006,26.0,1.8,2600
84,Toyota,2006,28.0,1.8,2600
85,Toyota,2006,22.0,1.8,2600
87,Cadillac,2001,15.0,4.6,1000
88,Hyundai,2017,28.0,2.0,14850
89,Hyundai,2017,26.0,2.0,14850
90,Hyundai,2017,32.0,1.4,14850
91,Hyundai,2017,26.0,1.6,14850
92,Hyundai,2017,22.0,1.6,14850
95,Volkswagen,2015,20.0,3.6,15950
96,Volkswagen,2015,24.0,1.8,15950
97,Volkswagen,2015,29.0,2.0,15950
98,Volkswagen,2015,24.0,1.8,15950
99,Volkswagen,2015,30.0,2.0,15950
102,Chevrolet,2017,27.0,1.5,19999
103,Chevrolet,2017,22.0,2.0,19999
105,Porsche,2013,17.0,3.6,0
106,Porsche,2013,15.0,3.6,0
107,Toyota,2006,26.0,1.8,2600
108,Toyota,2006,28.0,1.8,2600
109,Toyota,2006,22.0,1.8,2600
111,Cadillac,2001,15.0,4.6,1000
112,Honda,2015,18.0,3.5,17500
113,Honda,2015,21.0,3.5,17500
114,Honda,2015,21.0,3.5,17500
115,Honda,2015,23.0,2.4,17500
116,Honda,2015,27.0,2.4,17500
117,Honda,2015,26.0,2.4,17500
118,Honda,2015,29.0,1.8,13980
119,Honda,2015,29.0,1.8,13980
120,Honda,2015,28.0,1.8,13980
121,Honda,2015,22.0,2.4,13980
126,Chevrolet,2017,27.0,1.5,19999
127,Chevrolet,2017,22.0,2.0,19999
129,Porsche,2013,17.0,3.6,0
130,Porsche,2013,15.0,3.6,0
131,Toyota,2006,26.0,1.8,2600
132,Toyota,2006,28.0,1.8,2600
133,Toyota,2006,22.0,1.8,2600
135,Cadillac,2001,15.0,4.6,1000
139,Audi,2016,24.0,2.0,36388
143,Chevrolet,2017,27.0,1.5,19999
144,Chevrolet,2017,22.0,2.0,19999
146,Porsche,2013,17.0,3.6,0
147,Porsche,2013,15.0,3.6,0
148,Toyota,2006,26.0,1.8,2600
149,Toyota,2006,28.0,1.8,2600
150,Toyota,2006,22.0,1.8,2600
152,Cadillac,2001,15.0,4.6,1000
153,Acura,2015,24.0,2.0,16450
154,Acura,2015,22.0,2.4,16450
155,Volkswagen,2017,25.0,1.8,34950
156,Volkswagen,2017,25.0,1.8,34950
161,Chevrolet,2017,27.0,1.5,19999
162,Chevrolet,2017,22.0,2.0,19999
164,Porsche,2013,17.0,3.6,0
165,Porsche,2013,15.0,3.6,0
166,Toyota,2006,26.0,1.8,2600
167,Toyota,2006,28.0,1.8,2600
168,Toyota,2006,22.0,1.8,2600
170,Cadillac,2001,15.0,4.6,1000
171,Toyota,2017,27.0,1.8,14999
172,Toyota,2017,28.0,1.8,14999
173,Toyota,2017,28.0,1.8,14999
175,Volkswagen,2015,21.0,2.0,14990
180,Chevrolet,2017,27.0,1.5,19999
181,Chevrolet,2017,22.0,2.0,19999
183,Porsche,2013,17.0,3.6,0
184,Porsche,2013,15.0,3.6,0
185,Toyota,2006,26.0,1.8,2600
186,Toyota,2006,28.0,1.8,2600
187,Toyota,2006,22.0,1.8,2600
189,Cadillac,2001,15.0,4.6,1000
192,Audi,2014,18.0,3.0,29800
193,Audi,2014,20.0,2.0,29800
194,Audi,2014,23.0,3.0,29800
199,Chevrolet,2017,27.0,1.5,19999
200,Chevrolet,2017,22.0,2.0,19999
202,Porsche,2013,17.0,3.6,0
203,Porsche,2013,15.0,3.6,0
204,Toyota,2006,26.0,1.8,2600
205,Toyota,2006,28.0,1.8,2600
206,Toyota,2006,22.0,1.8,2600
208,Cadillac,2001,15.0,4.6,1000
210,Volkswagen,2016,25.0,1.8,13250
211,Volkswagen,2016,24.0,2.0,13250
212,Volkswagen,2016,23.0,2.0,13250
213,Volkswagen,2016,25.0,1.8,13250
214,Volkswagen,2016,28.0,1.4,13250
215,Volkswagen,2016,28.0,1.4,13250
216,Honda,2017,18.0,3.5,21588
217,Honda,2017,21.0,3.5,21588
218,Honda,2017,21.0,3.5,21588
219,Honda,2017,23.0,2.4,21588
220,Honda,2017,27.0,2.4,21588
221,Honda,2017,26.0,2.4,21588
225,Chevrolet,2017,27.0,1.5,19999
226,Chevrolet,2017,22.0,2.0,19999
228,Porsche,2013,17.0,3.6,0
229,Porsche,2013,15.0,3.6,0
230,Toyota,2006,26.0,1.8,2600
231,Toyota,2006,28.0,1.8,2600
232,Toyota,2006,22.0,1.8,2600
234,Volkswagen,2015,24.0,2.0,12500
235,Volkswagen,2015,23.0,2.0,12500
236,Volkswagen,2015,30.0,2.0,12500
237,Volkswagen,2015,31.0,2.0,12500
238,Volkswagen,2015,25.0,2.0,12500
