brand,model,Year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address,Transmission,mpg,Displacement
Volkswagen,Tiguan,2013,"$11,450.00 ",Grey,COMFORTLINE  4WD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"129,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1205 Finch Avenue West, Toronto, ON, M3J 2E8",Manual 6-spd,18,2000.0
Volkswagen,Tiguan,2013,"$11,450.00 ",Grey,COMFORTLINE  4WD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"129,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1205 Finch Avenue West, Toronto, ON, M3J 2E8",Automatic (S6),21,2000.0
Volkswagen,Tiguan,2013,"$11,450.00 ",Grey,COMFORTLINE  4WD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"129,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1205 Finch Avenue West, Toronto, ON, M3J 2E8",Manual 6-spd,18,2000.0
Volkswagen,Tiguan,2013,"$11,450.00 ",Grey,COMFORTLINE  4WD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"129,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1205 Finch Avenue West, Toronto, ON, M3J 2E8",Automatic (S6),21,2000.0
Honda,Accord,2015,"$15,499.00 ",White,LX,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"93,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCR2F36FA803335,"1726 Kingston Road, Scarborough, ON, M1N 1S8",Manual 6-spd,18,3500.0
Honda,Accord,2015,"$15,499.00 ",White,LX,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"93,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCR2F36FA803335,"1726 Kingston Road, Scarborough, ON, M1N 1S8",Automatic 6-spd,21,3500.0
Honda,Accord,2015,"$15,499.00 ",White,LX,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"93,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCR2F36FA803335,"1726 Kingston Road, Scarborough, ON, M1N 1S8",Automatic (S6),21,3500.0
Honda,Accord,2015,"$15,499.00 ",White,LX,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"93,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCR2F36FA803335,"1726 Kingston Road, Scarborough, ON, M1N 1S8",Manual 6-spd,23,2400.0
Honda,Accord,2015,"$15,499.00 ",White,LX,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"93,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCR2F36FA803335,"1726 Kingston Road, Scarborough, ON, M1N 1S8",Automatic (variable gear ratios),27,2400.0
Honda,Accord,2015,"$15,499.00 ",White,LX,Used,Sedan,Front-wheel drive (FWD),Other,Gasoline,"93,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCR2F36FA803335,"1726 Kingston Road, Scarborough, ON, M1N 1S8",Automatic (AV-S7),26,2400.0
