make,mileage,model,price,vin,year
Lexus,"44,190 Miles",RX 350,"$25,998",2T2BK1BA9FC342572,2015
Acura,"26,888 Miles",MDX,"$30,998",5FRYD4H44GB033681,2016
Toyota,"19,865 Miles",Highlander,"$29,998",5TDJKRFH4GS345488,2016
Acura,"24,969 Miles",ILX,"$18,998",19UDE2F71GA017012,2016
Toyota,"61,660 Miles",Camry,"$13,998",4T1BF1FK3EU388276,2014
Hyundai,"52,771 Miles",Accent,"$10,998",KMHCT5AE3FU213355,2015
Mazda,"71,846 Miles",Mazda6,"$10,599",1YVHZ8BH8C5M17779,2012
Subaru,"95,311 Miles",Outback,"$14,998",4S4BRBGC3C3291084,2012
Land Rover,"45,815 Miles",Discovery Sport,"$33,998",SALCT2BG8GH599440,2016
Mercedes-Benz,"61,854 Miles",C-Class,"$16,998",WDDGF8BB4CR227322,2012
Honda,"18,407 Miles",CR-V,"$20,998",5J6RM4H42GL076395,2016
Ram,"93,811 Miles",Pickup 1500,"$22,599",1C6RR7LT5ES193437,2014
Jeep,"61,515 Miles",Cherokee,"$15,998",1C4PJMCB1GW310889,2016
Audi,"32,016 Miles",Q5,"$26,998",WA1CFAFP1FA119548,2015
Ford,"18,607 Miles",Escape,"$20,998",1FMCU9J90GUB42818,2016
Honda,"33,454 Miles",CR-V,"$18,599",2HKRM4H35FH615110,2015
Chevrolet,"48,223 Miles",Impala,"$16,998",2G1105SA6H9126719,2017
Toyota,"44,589 Miles",4Runner,"$32,998",JTEBU5JR2F5255926,2015
Buick,"10,855 Miles",Regal,"$20,998",2G4GT5GX2G9138558,2016
Chevrolet,"101,812 Miles",Tahoe,"$17,998",1GNUCBE06AR138109,2010
Jeep,"43,218 Miles",Cherokee,"$25,998",1C4PJMBS8GW121383,2016
Audi,"58,925 Miles",A6,"$31,998",WAUHGAFC4GN004942,2016
Nissan,"24,076 Miles",Murano,"$20,998",5N1AZ2MH9FN235848,2015
Toyota,"5,051 Miles",Corolla,"$15,998",2T1BURHE2GC724354,2016
Mitsubishi,"28,165 Miles",Outlander Sport,"$14,998",4A4AR3AW0FE051775,2015
Toyota,"38,682 Miles",Tacoma,"$33,998",3TMGZ5AN9GM029547,2016
Chevrolet,"34,556 Miles",Silverado 1500,"$27,998",1GCVKREH5FZ422899,2015
Honda,"42,042 Miles",Civic,"$14,998",19XFB2F83FE097711,2015
Ford,"27,220 Miles",Fusion,"$14,998",3FA6P0H71GR294841,2016
Volkswagen,"30,111 Miles",Tiguan,"$16,599",WVGBV3AX4EW543441,2014
Lexus,"32,981 Miles",IS 250,"$22,998",JTHBF1D2XF5064548,2015
Nissan,"34,981 Miles",Sentra,"$14,599",3N1AB7AP7FY350536,2015
Toyota,"62,637 Miles",Sienna,"$19,599",5TDYK3DC8ES494213,2014
Ford,"45,129 Miles",Edge,"$23,998",2FMPK4K91HBB91008,2017
Lincoln,"20,856 Miles",MKZ,"$21,998",3LN6L2J95GR628586,2016
Chevrolet,"12,527 Miles",Malibu,"$13,998",1G11B5SL9EF187853,2014
Chevrolet,"62,208 Miles",Cruze,"$10,998",1G1PD5SBXD7208360,2013
FIAT,"22,947 Miles",500,"$11,998",3C3CFFBR3FT503855,2015
MINI,"14,940 Miles",Countryman,"$25,998",WMWZC5C59GWU20864,2016
Ford,"35,574 Miles",Explorer,"$30,998",1FM5K8GT8GGB85037,2016
Toyota,"27,659 Miles",RAV4,"$19,998",JTMRFREV6FD161596,2015
Ford,"28,377 Miles",Escape,"$19,998",1FMCU9JX8GUB27997,2016
Kia,"15,897 Miles",Sorento,"$20,998",5XYPGDA34GG089084,2016
Kia,"5,697 Miles",Cadenza,"$28,998",KNALC4J19H5089758,2017
Honda,"34,591 Miles",Accord,"$17,998",1HGCR2F88DA188084,2013
Jeep,"47,259 Miles",Patriot,"$15,998",1C4NJRBB9FD312373,2015
Toyota,"70,433 Miles",RAV4,"$18,599",2T3DFREV7EW126299,2014
Chevrolet,"36,392 Miles",Equinox,"$16,998",2GNALAEK5F6385882,2015
Nissan,"29,335 Miles",Rogue,"$17,599",KNMAT2MV1GP601514,2016
Ford,"40,001 Miles",Escape,"$19,599",1FMCU9JXXGUA63588,2016
